OBJECTID_1,SITE,ST_NAME,YEAR_,REGION,PHYSIO,COUNTY,BASIN,SEGMENT,ORDER_,SAMP_SPR,DATE_SPR,SAMP_SUM,DATE_SUM,LAT,LONG_,NORTHING,EASTING,SHEDCODE,SHEDNAME,TEMP_FLD,DO_FLD,PH_LAB,PH_FLD,COND_LAB,COND_FLD,ANC_LAB,DOC_LAB,NO3_LAB,SO4_LAB,ACIDSRC,PASTURE,CHANNEL,CONCRETE,STORMDRN,EFF_DIS,BEAVPOND,INSTRHAB,EPI_SUB,VEL_DPTH,POOLQUAL,RIFFQUAL,CHAN_ALT,BANKSTAB,EMBEDDED,CH_FLOW,SHADING,REMOTE,AESTHET,WOOD_DEB,NUMROOT,RIP_WID,BUFF_TYP,ADJ_COVR,MAXDEPTH,ST_GRAD,AVGWID,AVGTHAL,AVG_VEL,FLOW,ACREAGE,URBAN,AGRI,FOREST,WETLANDS,BARREN,WATER,HIGHURB,LOWURB,PASTUR,PROBCROP,ROWCROP,CONIFER,DECIDFOR,MIXEDFOR,EMERGWET,WOODYWET,COALMINE,TRANS,PHI,BKTRFLAG,BLACKWAT,STRATA_R,FIBI_98,BIBI_98,HILSNHOF,EPT_TAXA,NSPECFSH,NG_WT,TGAM_WT,PER_ANOM,AMBRLAMP,AMEREEL,BANKILLI,BANSUNFI,BKNODACE,BLKCRAPI,BLSPSUNF,BLUEGILL,BLUNMINN,BRKTROUT,BRNTROUT,BRWNBULL,BULHEDSP,CENSTROL,CHCATFIS,CHKSCULP,CHNPIKRL,CMLYSHIN,COMMCARP,COMSHINR,CREKCHUB,CRKCHBSK,CUTLMINW,CUTTROUT,CYPRINEL,CYPRINID,CYPRHYBR,DARTER,EMUDMINW,ESILVMIN,FALLFISH,FANTDART,FATHMINW,FLIER,GIZZSHAD,GLASDART,GLDNREDH,GLDNSHNR,GOLDFISH,GRNDARTR,GRSUNFSH,IRNCSHIN,JOHNDART,LAMPREY,LEPOMHYB,LGMTHBAS,LNGEARSU,LNGNSGAR,LOGPERCH,LONGDACE,LSTBKLMP,MARGMDTM,MOSQFISH,MTLSCULP,MUDSUNFI,MUMICHOG,NHOGSUKR,PERLDACE,PIRPERCH,POTSCULP,PUMPSEED,REDBRSUN,REDPIKRL,RIVRCHUB,RNBOWDRT,RNBTROUT,ROCKBASS,ROSYDACE,ROSYSHIN,SATFINSH,SCULPIN,SEALAMPR,SHLDDART,SHRTREDH,SJAWMINW,SMMTHBAS,SPFNSHIN,SPTLSHIN,STRPBASS,STRPDART,STRPSHIN,SWMPDART,SWSHINER,TADPMADT,TESSDART,WARMOUTH,WHITCATF,WHTPERCH,WHTSUCKR,YLLWBULH,YLLWPRCH,Enabled,outletdist_m
11,CR-P-197-211-95,N BR PATAPSCO R UT1,95,C,P,BA,PP,211,2,Y,4/7/1995 0:00,Y,7/31/1995 0:00,39.51,76.86,612467,839111,2130907,Liberty Reservoir,20,9,7.28,7.49,168.5,168,420.7,0,4.88,9.59,none, , , , , , ,16,15,16,15,17,10,11,15,95,90,16,17,3,2,3,FR,CP,90,0.3,4.63,36,0.16,1.24,2672.29,0.59,74.61,23.73,0.84,0,0.33,0.05,0.53,21.61,30.01,22.99,0.62,21.35,1.54,0.84,0.22,0,0,90.43,0,0,EPIEDMNT,4.11,3.44,3.55,5,13,4571,8,4.14,0,0,0,0,78,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,65,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,129,3,0,1,7389.43
12,CR-P-215-127-96,LIBERTY RES UT2,96,C,P,CR,PP,127,1,Y,3/12/1996 0:00,Y,8/26/1996 0:00,39.47,76.89,597401,829046,2130907,Liberty Reservoir,16.3,10.3,7.08,7.35,153.6,176,355.7,1.2,4.76,10.67,none, , , , , , ,12,11,13,14,12,10,10,15,80,85,15,16,3,2,50,FR,FR,74,0.7,2.48,32.5,0.12,0.55,301,0,73.09,26.25,0,0,0,0,0,39.53,10.96,22.59,1.99,20.93,3.32,0,0,0,0,67.5,0,0,EPIEDMNT,3.89,2.33,5,5,11,565,52,1.3,0,0,0,0,33,0,0,0,0,0,0,43,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,2,7,0,1,1207.34
13,CR-P-224-226-95,MIDDLE RUN,95,C,P,CR,PP,226,2,Y,3/31/1995 0:00,Y,7/20/1995 0:00,39.51,76.94,613703,814406,2130907,Liberty Reservoir,24.2,7.4,7.23,7.46,166,202,352.62,1,4.84,4.4,none, ,X, , , , ,11,11,7,8,8,14,13,30,95,80,8,14,1,0,10,OF,CP,39,0.9,3.33,14.75,0.21,1.03,2075.7,3.51,68.25,28.13,0,0,0.11,0.49,3.02,13.23,32.6,22.42,0.23,26.29,0.44,0,1.16,0,0,16.47,0,0,EPIEDMNT,3.89,3.89,4.93,6,10,3561,0,5.16,0,0,0,0,653,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,437,0,0,5,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63,0,0,1,11280.28
14,CR-P-227-305-96,PATAPSCO R,96,C,P,CR,PP,305,3,Y,3/14/1996 0:00,N,9/4/1996 0:00,39.51,76.88,612878,833220,2130907,Liberty Reservoir,0,0,7.46,0,205.3,0,512,2,5.84,7.03,none, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,33288,3.03,73.69,22.7,0.18,0,0.39,0.73,2.3,21.24,36.95,15.5,1.09,19.84,1.63,0.18,0.14,0,0,0,0,0,EPIEDMNT,0,3.67,3.9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8018.81
15,CR-P-240-225-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4691.28
16,CR-P-242-224-96,EAST BR PATAPSCO,96,C,P,CR,PP,224,2,Y,3/14/1996 0:00,Y,6/17/1996 0:00,39.55,76.88,625065,831739,2130907,Liberty Reservoir,20.3,9.1,7.64,7.41,171.5,162,389.5,1.2,5.74,6.23,none, , , , , , ,16,16,18,16,18,13,10,10,95,65,6,15,3,0,0, ,LN,72,1.5,12.93,45,0.42,18.46,13000,1.63,78.48,19.58,0.1,0,0.26,0.32,1.32,25.3,38.08,15.11,1.32,16.59,1.58,0.1,0.08,0,0,86.5,0,0,EPIEDMNT,3.89,2.11,4.28,7,17,6447,53,11.46,0,0,0,0,40,0,0,0,16,0,10,0,0,46,0,0,0,0,0,97,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,537,0,0,36,0,0,0,2,0,0,33,0,0,0,29,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,45,0,0,1,14631.42
17,CR-P-260-210-96,BEAVER RUN,96,C,P,CR,PP,210,2,Y,3/12/1996 0:00,Y,6/18/1996 0:00,39.53,76.95,621198,811270,2130907,Liberty Reservoir,20.7,8.6,7.33,7.26,268.3,267,568.3,1.5,5.62,8.67,none, , , , , , ,15,10,10,15,12,9,5,65,70,50,5,15,2,0,35,OF,PV,43,1.6,2.38,25.75,0.25,2.64,1693,11.7,72.77,15.59,0,0,0.06,0.83,10.87,20.08,26.46,26.23,0.24,14.77,0.59,0,0,0,0,34.04,0,0,EPIEDMNT,4.56,2.56,4.39,5,11,3202,0,2.12,0,0,0,0,159,0,0,0,38,0,0,0,0,48,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,61,0,0,1,13644.96
18,CR-P-260-212-95,BEAVER RUN,95,C,P,CR,PP,212,2,Y,3/31/1995 0:00,Y,8/6/1995 0:00,39.53,76.95,621020,811439,2130907,Liberty Reservoir,19.3,8.1,7.2,7.04,177.1,208,482.31,1,5.66,5.91,none, , , , , , ,13,13,10,16,13,16,6,15,100,20,7,16,1,0,30,OF,PV,43,0.3,2.2,26.75,0.23,2.04,1721.55,11.86,72.47,15.65,0,0,0.06,0.75,11.11,20.2,26.17,26.11,0.22,14.86,0.57,0,0,0,0,46.78,0,0,EPIEDMNT,4.78,3.44,5.09,6,14,4211,12,2.14,0,0,0,0,193,0,0,1,57,0,0,0,0,47,0,0,0,0,0,1,40,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,37,0,0,0,489,0,0,7,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,107,0,0,1,13572.68
19,CR-P-270-104-95,CRANBERRY BR,95,C,P,CR,PP,104,1,Y,4/7/1995 0:00,Y,7/13/1995 0:00,39.61,76.95,647721,812785,2130907,Liberty Reservoir,17.5,8.3,7.54,7.21,175.6,176,638.59,1,8.14,6.25,none, , , , , , ,13,15,12,12,15,17,5,10,95,95,16,17,1,1,40,OF,CP,59,0.3,2.63,16.25,0.21,1.06,759.26,0,81.78,17.7,0,0,0.31,0,0,30.47,34.24,17.07,0.99,14.7,0.72,0,1.3,0,0,69.7,0,0,EPIEDMNT,4.11,3.67,4.26,6,7,2050,1,2.58,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,1,25778.25
20,CR-P-294-124-95,ASPEN RUN,95,C,P,CR,PP,124,1,Y,4/7/1995 0:00,Y,6/13/1995 0:00,39.56,76.84,628983,842355,2130907,Liberty Reservoir,15.3,8.86,7.06,7.49,231,278,295.56,0,6.94,5.89,none, , , , , , ,13,11,12,11,11,8,11,30,90,75,1,15,1,1,0, ,CP,50,1,1.3,19,0.13,0.12,328.62,2.9,82,13.87,0.1,0,1.14,0,2.9,13.36,44.52,24.13,0,13.46,0.41,0.1,0,0,0,50.35,0,0,EPIEDMNT,4.33,3,4.37,7,8,2720,0,7.51,0,0,0,0,152,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,16687.11
21,CR-P-330-201-96,EAST BR PATAPSCO,96,C,P,CR,PP,201,2,Y,3/14/1996 0:00,Y,7/24/1996 0:00,39.58,76.89,636534,830353,2130907,Liberty Reservoir,17.4,9.2,7.93,7.25,189.7,174,407.2,1.2,6.4,6.71,none, , , , , , ,16,18,10,12,17,15,8,15,80,95,15,16,1,0,50,FR,FR,42,2,9.05,29,0.46,12.43,6808,2.79,83.03,13.84,0.16,0,0.16,0.59,2.2,28.82,41.57,12.65,1.75,10.52,1.42,0.16,0.15,0,0,67.5,0,0,EPIEDMNT,3.67,3.22,4.81,8,13,3077,383,15.18,0,0,0,0,120,0,0,0,0,0,3,0,0,41,0,0,0,0,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,0,0,688,0,0,6,0,0,0,0,0,0,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,19494.53
22,CR-P-330-229-96,EAST BR PATAPSCO,96,C,P,CR,PP,229,2,Y,3/14/1996 0:00,Y,7/24/1996 0:00,39.58,76.88,639366,832155,2130907,Liberty Reservoir,20.2,10.2,7.62,7.84,193.6,175,419.5,1.2,6.5,6.61,none,X, ,X, , , ,16,15,16,15,16,14,13,30,90,20,3,7,2,2,0, ,PA,103,0.75,7.35,36.5,0.38,12.73,6318,3.01,83.89,12.8,0.17,0,0.16,0.63,2.37,29.44,41.77,12.68,1.71,9.83,1.14,0.17,0.13,0,0,82.19,0,0,EPIEDMNT,4.78,2.56,4.57,10,17,12277,683,16.09,0,0,0,0,260,0,0,0,32,0,8,0,0,334,0,0,0,0,0,172,96,0,69,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,97,0,0,0,382,0,0,30,0,0,0,0,0,0,9,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,162,0,0,1,20767.11
23,CR-P-344-219-96,EAST BR PATAPSCO,96,C,P,CR,PP,219,2,Y,3/14/1996 0:00,Y,7/25/1996 0:00,39.61,76.88,648480,832801,2130907,Liberty Reservoir,18.2,10.4,7.33,7.07,164.9,154,332.2,1,5.83,6.22,none,X, , , , , ,16,17,8,12,17,17,14,50,100,70,3,7,0,4,0, ,PA,43,2,2.88,30.75,0.32,4.83,2353,0.42,81.56,17.21,0.38,0,0.34,0.17,0.25,32.34,33.45,15.77,2.76,12.75,1.36,0.38,0.34,0,0,76.15,0,0,EPIEDMNT,4.33,3,4.87,9,14,3976,181,8.73,0,0,0,0,72,0,0,8,1,0,7,0,0,100,0,0,0,0,0,6,56,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,475,0,0,1,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,24279.28
24,CR-P-402-121-95,DEEP RUN,95,C,P,CR,PP,121,1,Y,4/7/1995 0:00,Y,8/7/1995 0:00,39.56,76.86,630569,836916,2130907,Liberty Reservoir,20.1,8.7,7.15,7.22,183.8,178,292.33,1,6.06,10.72,none, , , , , , ,17,18,15,16,15,11,7,5,95,90,14,16,0,1,0, ,CP,66,2,5.73,33,0.17,1.98,1962.25,2.84,86.97,9.36,0.03,0,0.8,1.27,1.58,32.72,40.4,13.85,0.57,8.11,0.68,0.03,0,0,0,84.73,0,0,EPIEDMNT,3.89,3.22,5.08,8,9,4191,0,3.79,0,0,0,0,86,0,0,0,22,0,0,0,0,38,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,15846.75
25,CR-P-409-320-96,NORTH BR PATAPSCO R,96,C,P,CR,PP,320,3,Y,3/14/1996 0:00,Y,7/11/1996 0:00,39.52,76.87,616473,834778,2130907,Liberty Reservoir,17.3,9.6,7.42,7.39,209,180,518.3,1,5.44,6.82,none, , , ,X, , ,9,10,17,19,1,16,12,45,100,60,6,13,1,2,0, ,LN,88,0.5,17.13,63,0.21,53.63,31728,3.19,73.9,22.39,0.11,0,0.4,0.77,2.42,21.5,37.01,15.39,1.07,19.67,1.55,0.11,0.1,0,0,27.11,0,0,EPIEDMNT,3.44,4.33,3.83,15,17,12712,229,19.81,0,0,0,0,0,0,0,12,37,0,0,0,0,19,0,0,0,0,0,72,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,10,0,0,10,0,0,0,15,0,0,13,0,0,0,1,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,189,0,0,1,9604.17
